"year"," Academy Award"," Winner"," Movie Name"," Producer"," IMDB Rating"," IMDB Votes","Tomatometer","Average Critic Score","Percent Audience Liked","Average Audience Score"
1995," 68th"," False"," Babe"," George Miller",6.8,95477,97,8.3,67,6
1995," 68th"," True"," Braveheart"," Mel Gibson",8.4,750378,78,7.2,85,7.6
1995," 68th"," False"," The Postman (Il Postino)"," Mario Cecchi Gori",7.8,26597,93,8,94,8.2
1995," 68th"," False"," Sense and Sensibility"," Lindsay Doran",7.7,79554,98,8,90,7.6
1996," 69th"," True"," The English Patient"," Saul Zaentz",7.4,144228,84,7.6,83,7.2
1996," 69th"," False"," Fargo"," Ethan Coen",8.1,463308,94,8.7,93,7.8
1996," 69th"," False"," Jerry Maguire"," James L. Brooks",7.3,192695,82,7.6,79,6.6
1996," 69th"," False"," Secrets & Lies"," Simon Channing-Williams",7.1,7,94,8.6,91,8.2
1996," 69th"," False"," Shine"," Jane Scott",7.7,43644,91,8.1,90,7.6
1997," 70th"," False"," As Good as It Gets"," James L. Brooks",7.7,227157,86,7.2,86,7
1997," 70th"," False"," The Full Monty"," Uberto Pasolini",7.2,83114,95,7.5,79,6.6
1997," 70th"," False"," Good Will Hunting"," Lawrence Bender",8.3,618670,97,8.1,94,7.8
1997," 70th"," False"," L.A. Confidential"," Arnon Milchan",8.3,421424,99,8.7,94,7.6
1997," 70th"," True"," Titanic"," James Cameron and Jon Landau",7.7,806858,88,8,69,6.6
1998," 71st"," False"," Elizabeth"," Alison Owen",7.5,76866,82,7.3,86,7.6
1998," 71st"," False"," Life Is Beautiful"," Elda Ferri and Gianluigi Braschi",8.6,431336,80,7.5,96,8.6
1998," 71st"," False"," Saving Private Ryan"," Steven Spielberg",8.6,900171,92,8.6,95,8
1998," 71st"," True"," Shakespeare in Love"," David Parfitt",7.2,177748,92,8.3,80,6.8
1998," 71st"," False"," The Thin Red Line"," Robert Michael Geisler",7.6,140738,78,7.2,80,7
1999," 72nd"," True"," American Beauty"," Bruce Cohen and Dan Jinks",8.4,837628,88,8.2,93,7.6
1999," 72nd"," False"," The Cider House Rules"," Richard N. Gladstein",7.4,79875,71,6.6,77,6.8
1999," 72nd"," False"," The Green Mile"," David Valdes and Frank Darabont",8.5,803074,80,6.8,94,8.2
1999," 72nd"," False"," The Insider"," Michael Mann and Pieter Jan Brugge",7.9,135168,96,8.1,90,7.6
1999," 72nd"," False"," The Sixth Sense"," Frank Marshall",8.1,716993,85,7.6,89,7.6
2000," 73rd"," False"," Chocolat"," David Brown",7.6,72,63,6,83,7.2
2000," 73rd"," False"," Crouching Tiger, Hidden Dragon"," Bill Kong",7.9,219473,97,8.6,86,7.2
2000," 73rd"," False"," Erin Brockovich"," Danny DeVito",5.3,31,84,7.3,80,7
2000," 73rd"," True"," Gladiator"," Douglas Wick",6.7,68,76,7.2,87,7.6
2000," 73rd"," False"," Traffic"," Edward Zwick",5.1,79,92,8,85,7.2
2001," 74th"," True"," A Beautiful Mind"," Brian Grazer and Ron Howard",8.2,624867,75,7.2,93,7.8
2001," 74th"," False"," Gosford Park"," Robert Altman",7.3,65928,86,7.5,78,7
2001," 74th"," False"," In the Bedroom"," Graham Leader",7.5,32655,93,7.9,81,7.4
2001," 74th"," False"," The Lord of the Rings: The Fellowship of the Ring"," Peter Jackson",8.8,1260698,91,8.2,95,8.2
2001," 74th"," False"," Moulin Rouge"," Martin Brown",7.6,226437,76,7.1,89,7.4
2002," 75th"," True"," Chicago"," Martin Richards",8,24,86,8,83,7
2002," 75th"," False"," Gangs of New York"," Alberto Grimaldi and Harvey Weinstein",6.7,83,75,7.1,81,7
2002," 75th"," False"," The Hours"," Scott Rudin and Robert Fox",7.6,103404,81,7.4,84,7.4
2002," 75th"," False"," The Lord of the Rings: The Two Towers"," Barrie M. Osborne",8.3,1979,96,8.5,95,8.2
2002," 75th"," False"," The Pianist"," Roman Polanski",8.5,510731,96,8.2,95,8.2
2003," 76th"," True"," The Lord of the Rings: The Return of the King"," Barrie M. Osborne",8.3,1724,95,8.7,86,7.4
2003," 76th"," False"," Lost in Translation"," Ross Katz and Sofia Coppola",6.8,6,95,8.4,86,7.2
2003," 76th"," False"," Master and Commander: The Far Side of the World"," Samuel Goldwyn",7.4,170223,85,7.6,80,6.8
2003," 76th"," False"," Mystic River"," Robert Lorenz",8,343132,87,7.7,89,7.4
2003," 76th"," False"," Seabiscuit"," Kathleen Kennedy",8,69,77,7.1,76,6.6
2004," 77th"," False"," The Aviator"," Michael Mann and Graham King",7.5,268588,87,7.8,79,6.8
2004," 77th"," False"," Finding Neverland"," Richard N. Gladstein and Nellie Bellflower",7.8,176051,83,7.5,87,7.4
2004," 77th"," True"," Million Dollar Baby"," Clint Eastwood",8.1,491177,91,8.4,90,7.6
2004," 77th"," False"," Ray"," Taylor Hackford",8.8,97,81,7.3,87,7.6
2004," 77th"," False"," Sideways"," Michael London",7.5,151701,96,8.5,78,6.8
2005," 78th"," False"," Brokeback Mountain"," Diana Ossana and James Schamus",7.7,263100,87,8.2,82,6.8
2005," 78th"," False"," Capote"," Caroline Baron",7.4,102036,90,8.2,81,7.2
2005," 78th"," True"," Crash"," Paul Haggis and Cathy Schulman",5.3,9,75,6.8,70,7
2005," 78th"," False"," Good Night, and Good Luck."," Grant Heslov",7.5,84690,93,8.1,83,7.2
2005," 78th"," False"," Munich"," Kathleen Kennedy",4.6,30,78,7.5,83,7.2
2006," 79th"," False"," Babel"," Alejandro González Iñárritu",7.5,246744,100,7.2,83,7.2
2006," 79th"," True"," The Departed"," Graham King",8.5,891309,91,8.2,94,8.2
2006," 79th"," False"," Letters from Iwo Jima"," Clint Eastwood",7.9,133474,91,8.2,86,7.6
2006," 79th"," False"," Little Miss Sunshine"," David T. Friendly",7.8,361214,91,7.7,91,8
2006," 79th"," False"," The Queen"," Andy Harries",7.3,86435,92,7.3,88,8.4
2007," 80th"," False"," Atonement"," Tim Bevan",9,6,83,7.4,80,7.6
2007," 80th"," False"," Juno"," Lianne Halfon",7.5,419757,94,8.1,88,8.2
2007," 80th"," False"," Michael Clayton"," Sydney Pollack",7.3,135029,90,7.6,69,7
2007," 80th"," True"," No Country for Old Men"," Scott Rudin",8.1,626193,93,8.7,86,8
2007," 80th"," False"," There Will Be Blood"," JoAnne Sellar",8.2,6,91,8.4,86,8
2008," 81st"," False"," The Curious Case of Benjamin Button"," Kathleen Kennedy",7.8,466710,72,7.1,80,7.4
2008," 81st"," False"," Frost/Nixon"," Brian Grazer",7.7,89381,92,7.9,88,7.6
2008," 81st"," False"," Milk"," Dan Jinks and Bruce Cohen",9.3,6,94,8,89,8
2008," 81st"," False"," The Reader"," Anthony Minghella",7.6,192318,82,7.1,71,7.2
2008," 81st"," True"," Slumdog Millionaire"," Christian Colson",8,651130,92,8.4,90,8
2009," 82nd"," False"," Avatar"," James Cameron and Jon Landau",7.9,899530,83,7.5,82,8.2
